iter	Logloss
0	0.5724436359
1	0.5186791397
2	0.4944711329
3	0.4831890646
4	0.4773228118
5	0.4744552758
6	0.4734614108
7	0.4714699332
8	0.4705335474
9	0.4699013804
10	0.4694795632
11	0.4692145982
12	0.4685619251
13	0.4676826093
14	0.4674828604
15	0.4672363912
16	0.4670368128
17	0.4663638751
18	0.4658053069
19	0.46553079
20	0.4641685287
21	0.4636266001
22	0.4634629384
23	0.4632109348
24	0.4630801193
25	0.4628212513
26	0.4626059019
27	0.4625323464
28	0.4624654394
29	0.4622977199
30	0.4620913983
31	0.461757493
32	0.4616086048
33	0.4614311595
34	0.4611125666
35	0.4604270017
36	0.4602533482
37	0.4600325538
38	0.4597598402
39	0.4594251658
40	0.4592936598
41	0.4589657824
42	0.458471624
43	0.4582746282
44	0.4581241588
45	0.457967601
46	0.4577820006
47	0.4576111979
48	0.4574295488
49	0.4573259875
50	0.4571238452
51	0.4569928953
52	0.4568025773
53	0.4564638996
54	0.456366434
55	0.4562575027
56	0.4560509676
57	0.455941356
58	0.4558658346
59	0.4558457497
60	0.4556659431
61	0.4554452899
62	0.4553095096
63	0.4550246805
64	0.4547501466
65	0.4547191279
66	0.4546612321
67	0.4545225228
68	0.4544065768
69	0.4542082162
70	0.4540513118
71	0.4538708206
72	0.4537558658
73	0.4536347608
74	0.4535369155
75	0.4533361033
76	0.4533200047
77	0.4531459227
78	0.4530667356
79	0.4529474981
80	0.4529029539
81	0.4527650975
82	0.452655156
83	0.45259421
84	0.4525279405
85	0.4523538774
86	0.4521862789
87	0.4521130204
88	0.452022438
89	0.4518985336
90	0.4518029872
91	0.451565901
92	0.4514613233
93	0.4513297345
94	0.4512017601
95	0.4511125104
96	0.4509282759
97	0.4507760763
98	0.4506334022
99	0.4505880191
100	0.4505466508
101	0.4504421644
102	0.4502797274
103	0.4501256263
104	0.4500486463
105	0.4499168696
106	0.4497932287
107	0.4497011185
108	0.4496203182
109	0.4494880845
110	0.4493538285
111	0.4492349214
112	0.4491633785
113	0.4490722129
114	0.448964293
115	0.4489007188
116	0.4488480491
117	0.448721526
118	0.4486281233
119	0.448486783
120	0.4484619305
121	0.4484525034
122	0.4483780463
123	0.4482773276
124	0.4482287263
125	0.4481212559
126	0.4480028396
127	0.4479101176
128	0.4478261404
129	0.4476999746
130	0.4476504094
131	0.4475985006
132	0.4474687581
133	0.4474092346
134	0.4471394197
135	0.4469153476
136	0.4468594499
137	0.4467925389
138	0.446747238
139	0.4466628602
140	0.4466225652
141	0.4465362937
142	0.4465116295
143	0.4463983881
144	0.4463567591
145	0.44615715
146	0.4460971326
147	0.446029296
148	0.4459338378
149	0.4457905718
150	0.445676965
151	0.4456259715
152	0.4455430494
153	0.4454527803
154	0.4453341448
155	0.4452485521
156	0.4451893281
157	0.4450998574
158	0.4450221287
159	0.444960513
160	0.4448676993
161	0.4448033578
162	0.4446974326
163	0.4446526926
164	0.4445732539
165	0.444499995
166	0.444410229
167	0.4443523383
168	0.4442151591
169	0.444126854
170	0.4439373676
171	0.4438732113
172	0.4437530217
173	0.4437002292
174	0.4436471298
175	0.4436027726
176	0.4435374735
177	0.443477017
178	0.4434100252
179	0.4433916025
180	0.4433658473
181	0.4433016953
182	0.4432681898
