iter	Passed	Remaining
0	2	2188
1	5	2713
2	7	2513
3	9	2358
4	11	2286
5	13	2213
6	15	2164
7	23	2932
8	25	2795
9	27	2748
10	29	2688
11	31	2609
12	34	2606
13	36	2542
14	37	2495
15	39	2458
16	41	2419
17	43	2392
18	45	2369
19	47	2349
20	50	2342
21	52	2349
22	55	2357
23	58	2360
24	60	2361
25	62	2358
26	65	2356
27	72	2508
28	74	2485
29	75	2454
30	78	2443
31	80	2423
32	82	2419
33	85	2423
34	87	2416
35	89	2403
36	92	2397
37	93	2378
38	95	2363
39	97	2348
40	99	2333
41	101	2320
42	103	2311
43	106	2308
44	108	2308
45	110	2291
46	112	2274
47	114	2273
48	116	2269
49	119	2261
50	121	2258
51	123	2249
52	125	2246
53	127	2237
54	129	2231
55	132	2229
56	134	2222
57	136	2211
58	138	2201
59	140	2193
60	142	2192
61	144	2191
62	146	2182
63	148	2175
64	151	2180
65	153	2174
66	155	2168
67	157	2160
68	161	2179
69	163	2175
70	165	2169
71	167	2160
72	170	2158
73	173	2168
74	176	2172
75	178	2171
76	181	2169
77	183	2166
78	185	2159
79	187	2153
80	189	2148
81	191	2144
82	193	2140
83	195	2135
84	197	2130
85	199	2123
86	201	2116
87	204	2116
88	206	2110
89	208	2105
90	210	2103
91	212	2098
92	215	2097
93	217	2094
94	219	2088
95	221	2083
96	223	2081
97	226	2089
98	229	2092
99	232	2092
100	234	2089
101	236	2082
102	238	2081
103	240	2075
104	243	2078
105	246	2081
106	249	2083
107	252	2085
108	254	2081
109	256	2079
110	259	2074
111	261	2073
112	264	2073
113	266	2069
114	268	2067
115	270	2059
116	272	2059
117	275	2057
118	277	2055
119	279	2050
120	281	2048
121	284	2044
122	286	2040
123	288	2037
124	291	2037
125	293	2033
126	295	2032
127	298	2030
128	300	2029
129	303	2033
130	306	2034
131	309	2033
132	312	2039
133	315	2039
134	317	2035
135	319	2031
136	324	2046
137	326	2040
138	329	2040
139	332	2039
140	334	2035
141	336	2030
142	338	2031
143	341	2029
144	344	2028
145	345	2023
146	348	2020
147	351	2021
148	354	2025
149	357	2027
150	359	2024
151	362	2021
152	364	2019
153	367	2016
154	368	2011
155	371	2007
156	373	2003
157	375	1998
158	377	1994
159	379	1990
160	381	1986
161	383	1983
162	385	1980
163	387	1976
164	390	1974
165	392	1971
166	395	1970
167	397	1970
